path,bytes_uncompressed,over_2mb,crawl_window_bytes,body_start_byte,h1_pos_byte,h1_in_first_2mb,top20_byte_cutoff,h1_in_top20_html,top20_body_byte_cutoff,h1_in_top20_body,uniqueness_marker,uniqueness_pos_byte,uniqueness_in_first_2mb,uniqueness_in_top20_html,uniqueness_in_top20_body
assisted-living/alabama/cities/grand-bay/index.html,16607,false,16607,2296,2887,true,3321,true,5158,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/greensboro/index.html,16441,false,16441,2312,2903,true,3288,true,5137,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/greenville/index.html,16700,false,16700,2312,2903,true,3340,true,5189,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/guin/index.html,16093,false,16093,2216,2807,true,3218,true,4991,true,Local Data Signals,2969,true,true,true
assisted-living/alabama/cities/guntersville/index.html,18043,false,18043,2344,2935,true,3608,true,5483,true,Local Data Signals,3105,true,true,true
assisted-living/alabama/cities/haleyville/index.html,16599,false,16599,2312,2903,true,3319,true,5169,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/hamilton/index.html,16479,false,16479,2280,2871,true,3295,true,5119,true,Local Data Signals,3037,true,true,true
assisted-living/alabama/cities/hanceville/index.html,16643,false,16643,2312,2903,true,3328,true,5178,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/hartford/index.html,16402,false,16402,2280,2871,true,3280,true,5104,true,Local Data Signals,3037,true,true,true
assisted-living/alabama/cities/hayneville/index.html,16693,false,16693,2312,2903,true,3338,true,5188,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/heflin/index.html,16178,false,16178,2248,2839,true,3235,true,5034,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/hoover/index.html,16449,false,16449,2248,2839,true,3289,true,5088,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/hueytown/index.html,17570,false,17570,2280,2871,true,3514,true,5338,true,Local Data Signals,3037,true,true,true
assisted-living/alabama/cities/huntsville/index.html,27111,false,27111,2312,2903,true,5422,true,7271,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/irondale/index.html,16459,false,16459,2280,2871,true,3291,true,5115,true,Local Data Signals,3037,true,true,true
assisted-living/alabama/cities/jackson/index.html,16470,false,16470,2264,2855,true,3294,true,5105,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/jacksonville/index.html,16853,false,16853,2344,2935,true,3370,true,5245,true,Local Data Signals,3105,true,true,true
assisted-living/alabama/cities/jasper/index.html,18901,false,18901,2248,2839,true,3780,true,5578,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/killen/index.html,16340,false,16340,2248,2839,true,3268,true,5066,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/lafayette/index.html,17764,false,17764,2296,2887,true,3552,true,5389,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/lanett/index.html,16282,false,16282,2248,2839,true,3256,true,5054,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/linden/index.html,16139,false,16139,2248,2839,true,3227,true,5026,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/lineville/index.html,16597,false,16597,2296,2887,true,3319,true,5156,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/luverne/index.html,16453,false,16453,2264,2855,true,3290,true,5101,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/madison/index.html,17743,false,17743,2264,2855,true,3548,true,5359,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/marion/index.html,17377,false,17377,2248,2839,true,3475,true,5273,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/mc-calla/index.html,16496,false,16496,2280,2871,true,3299,true,5123,true,Local Data Signals,3037,true,true,true
assisted-living/alabama/cities/mobile/index.html,31038,false,31038,2248,2839,true,6207,true,8006,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/monroeville/index.html,18213,false,18213,2328,2919,true,3642,true,5505,true,Local Data Signals,3088,true,true,true
assisted-living/alabama/cities/montgomery/index.html,25903,false,25903,2312,2903,true,5180,true,7030,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/moulton/index.html,16359,false,16359,2264,2855,true,3271,true,5083,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/moundville/index.html,16669,false,16669,2312,2903,true,3333,true,5183,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/muscle-shoals/index.html,16809,false,16809,2360,2951,true,3361,true,5249,true,Local Data Signals,3122,true,true,true
assisted-living/alabama/cities/northport/index.html,22044,false,22044,2296,2887,true,4408,true,6245,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/oneonta/index.html,17541,false,17541,2264,2855,true,3508,true,5319,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/opelika/index.html,16493,false,16493,2264,2855,true,3298,true,5109,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/opp/index.html,16168,false,16168,2200,2791,true,3233,true,4993,true,Local Data Signals,2952,true,true,true
assisted-living/alabama/cities/owens-cross-roads/index.html,17216,false,17216,2424,3015,true,3443,true,5382,true,Local Data Signals,3190,true,true,true
assisted-living/alabama/cities/oxford/index.html,16284,false,16284,2248,2839,true,3256,true,5055,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/ozark/index.html,17561,false,17561,2232,2823,true,3512,true,5297,true,Local Data Signals,2986,true,true,true
assisted-living/alabama/cities/pell-city/index.html,19102,false,19102,2296,2887,true,3820,true,5657,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/phenix-city/index.html,19355,false,19355,2328,2919,true,3871,true,5733,true,Local Data Signals,3088,true,true,true
assisted-living/alabama/cities/piedmont/index.html,16445,false,16445,2280,2871,true,3289,true,5113,true,Local Data Signals,3037,true,true,true
assisted-living/alabama/cities/pleasant-grove/index.html,18349,false,18349,2376,2967,true,3669,true,5570,true,Local Data Signals,3139,true,true,true
assisted-living/alabama/cities/prattville/index.html,16675,false,16675,2312,2903,true,3335,true,5184,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/red-bay/index.html,16395,false,16395,2264,2855,true,3279,true,5090,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/reform/index.html,16346,false,16346,2248,2839,true,3269,true,5067,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/roanoke/index.html,17748,false,17748,2264,2855,true,3549,true,5360,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/robertsdale/index.html,16753,false,16753,2328,2919,true,3350,true,5213,true,Local Data Signals,3088,true,true,true
assisted-living/alabama/cities/russellville/index.html,19494,false,19494,2344,2935,true,3898,true,5774,true,Local Data Signals,3105,true,true,true
assisted-living/alabama/cities/scottsboro/index.html,17998,false,17998,2312,2903,true,3599,true,5449,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/selma/index.html,18512,false,18512,2232,2823,true,3702,true,5488,true,Local Data Signals,2986,true,true,true
assisted-living/alabama/cities/spanish-fort/index.html,16930,false,16930,2344,2935,true,3386,true,5261,true,Local Data Signals,3105,true,true,true
assisted-living/alabama/cities/sylacauga/index.html,17996,false,17996,2296,2887,true,3599,true,5436,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/talladega/index.html,16552,false,16552,2296,2887,true,3310,true,5147,true,Local Data Signals,3054,true,true,true
