Subject,State Name,Total Facilities,Websites Found,Success Rate,Updated JSON File,Error
/home/ubuntu/north_carolina_facilities.json,North Carolina,419,393,93.8%,/home/ubuntu/updated_file/33_DYfvaL0bdSJ2Pr7v827TfO_1770833792433_na1fn_L2hvbWUvdWJ1bnR1L25vcnRoX2Nhcm9saW5hX2ZhY2lsaXRpZXNfdXBkYXRlZA.json,
/home/ubuntu/north_dakota_facilities.json,North Dakota,73,73,100.0%,/home/ubuntu/updated_file/34_0tboqij4qui78RFscEB8SO_1770829630180_na1fn_L2hvbWUvdWJ1bnR1L25vcnRoX2Rha290YV9mYWNpbGl0aWVzX3VwZGF0ZWQ.json,
/home/ubuntu/ohio_facilities.json,Ohio,922,883,95.8%,/home/ubuntu/updated_file/35_I8odHvsOtJRqhXVU5sLwLa_1770830350427_na1fn_L2hvbWUvdWJ1bnR1L29oaW9fZmFjaWxpdGllc191cGRhdGVk.json,
/home/ubuntu/oklahoma_facilities.json,Oklahoma,285,216,75.8%,/home/ubuntu/updated_file/36_leXbUTiDD5qkKDjrqAnqkg_1770830009308_na1fn_L2hvbWUvdWJ1bnR1L29rbGFob21hX2ZhY2lsaXRpZXNfdXBkYXRlZA.json,
/home/ubuntu/oregon_facilities.json,Oregon,128,124,96.9%,/home/ubuntu/updated_file/37_hHQnASgOkJFe2Tz7kXyfFe_1770830005436_na1fn_L2hvbWUvdWJ1bnR1L29yZWdvbl9mYWNpbGl0aWVzX3VwZGF0ZWQ.json,
/home/ubuntu/pennsylvania_facilities.json,Pennsylvania,657,632,96.2%,/home/ubuntu/updated_file/38_TmZeYefWtl9Evvhlf38Ojm_1770830630540_na1fn_L2hvbWUvdWJ1bnR1L3Blbm5zeWx2YW5pYV9mYWNpbGl0aWVzX3VwZGF0ZWQ.json,
/home/ubuntu/rhode_island_facilities.json,Rhode Island,73,69,94.5%,/home/ubuntu/updated_file/39_QycXQQ9OFxUQMRzHCbG7rw_1770830198467_na1fn_L2hvbWUvdWJ1bnR1L3Job2RlX2lzbGFuZF9mYWNpbGl0aWVzX3dpdGhfd2Vic2l0ZXM.json,
/home/ubuntu/south_carolina_facilities.json,South Carolina,187,175,93.6%,/home/ubuntu/updated_file/40_1KsstoAPwRqixvHEHxboIK_1770830181511_na1fn_L2hvbWUvdWJ1bnR1L3NvdXRoX2Nhcm9saW5hX2ZhY2lsaXRpZXNfdXBkYXRlZA.json,
/home/ubuntu/south_dakota_facilities.json,South Dakota,96,90,93.8%,/home/ubuntu/updated_file/41_CKmL567GEsg0ay0VCPapno_1770830300133_na1fn_L2hvbWUvdWJ1bnR1L3NvdXRoX2Rha290YV9mYWNpbGl0aWVzX3VwZGF0ZWQ.json,
/home/ubuntu/tennessee_facilities.json,Tennessee,303,292,96.4%,/home/ubuntu/updated_file/42_igk3FyJdJAuz9Awh0g5o0L_1770830571464_na1fn_L2hvbWUvdWJ1bnR1L3Rlbm5lc3NlZV9mYWNpbGl0aWVzX3VwZGF0ZWQ.json,
/home/ubuntu/texas_facilities.json,Texas,1176,,0.0%,/home/ubuntu/updated_file/43_llnPsZOiOOb9Lv0ZoPfPMb_1770830248653_na1fn_L2hvbWUvdWJ1bnR1L3RleGFzX2ZhY2lsaXRpZXNfdXBkYXRlZA.json,
/home/ubuntu/utah_facilities.json,Utah,98,93,94.9%,/home/ubuntu/updated_file/44_N3QQIMIraW8eTu384KpUob_1770830592555_na1fn_L2hvbWUvdWJ1bnR1L3V0YWhfZmFjaWxpdGllc191cGRhdGVk.json,
/home/ubuntu/vermont_facilities.json,Vermont,34,32,94.1%,/home/ubuntu/updated_file/45_0Mczjzl4s45HDv8TX9mWvG_1770830386427_na1fn_L2hvbWUvdWJ1bnR1L3Zlcm1vbnRfZmFjaWxpdGllc191cGRhdGVk.json,
/home/ubuntu/virginia_facilities.json,Virginia,289,274,94.8%,/home/ubuntu/updated_file/46_y5OkXtn7nVdSdMQbaTp2la_1770830604408_na1fn_L2hvbWUvdWJ1bnR1L3ZpcmdpbmlhX2ZhY2lsaXRpZXNfdXBkYXRlZA.json,
/home/ubuntu/washington_facilities.json,Washington,193,187,96.9%,/home/ubuntu/updated_file/47_RriTMgRk9EZo2bdtVwwA7V_1770830929053_na1fn_L2hvbWUvdWJ1bnR1L3dhc2hpbmd0b25fZmFjaWxpdGllc191cGRhdGVk.json,
/home/ubuntu/west_virginia_facilities.json,West Virginia,123,119,96.7%,/home/ubuntu/updated_file/48_VIgd2v3Z7EPAHkQ1X6LRp3_1770830844839_na1fn_L2hvbWUvdWJ1bnR1L3dlc3RfdmlyZ2luaWFfZmFjaWxpdGllc191cGRhdGVk.json,
/home/ubuntu/wyoming_facilities.json,Wyoming,36,36,100.0%,/home/ubuntu/updated_file/50_RnqjBQnYP7FXc90SQ6jNgl_1770830897754_na1fn_L2hvbWUvdWJ1bnR1L3d5b21pbmdfZmFjaWxpdGllc191cGRhdGVk.json,
